"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotBaths","Remod","HAge","NewH","TotalSqFt","TotalPorchSF","Id"
"1","2 story 1946 & newer","RL",65,8450,1,"None",3,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd",1,196,4,3,"PConc",4,3,1,6,706,1,0,150,856,"GasA",5,1,"SBrkr",856,854,0,1710,1,0,2,1,3,1,4,8,7,0,0,"Attchd",2003,2,2,548,3,3,2,0,61,0,0,0,0,0,"None","None",0,"2","2008","WD","Normal",208500,3.5,0,5,0,2566,61,1
"2","1 story 1946 & newer","RL",80,9600,1,"None",3,"Lvl","FR2",2,"Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"CBlock",4,3,4,5,978,1,0,284,1262,"GasA",5,1,"SBrkr",1262,0,0,1262,0,1,2,0,3,1,3,6,7,1,3,"Attchd",1976,2,2,460,3,3,2,298,0,0,0,0,0,0,"None","None",0,"5","2007","WD","Normal",181500,2.5,0,31,0,2524,0,2
"3","2 story 1946 & newer","RL",68,11250,1,"None",2,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd",1,162,4,3,"PConc",4,3,2,6,486,1,0,434,920,"GasA",5,1,"SBrkr",920,866,0,1786,1,0,2,1,3,1,4,6,7,1,3,"Attchd",2001,2,2,608,3,3,2,0,42,0,0,0,0,0,"None","None",0,"9","2008","WD","Normal",223500,3.5,1,6,0,2706,42,3
"4","2 story 1945 & older","RL",60,9550,1,"None",2,"Lvl","Corner",2,"Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng",0,0,3,3,"BrkTil",3,4,1,5,216,1,0,540,756,"GasA",4,1,"SBrkr",961,756,0,1717,1,0,1,0,3,1,4,7,7,1,4,"Detchd",1998,1,3,642,3,3,2,0,35,272,0,0,0,0,"None","None",0,"2","2006","WD","Abnorml",140000,2,1,36,0,2473,307,4
"5","2 story 1946 & newer","RL",84,14260,1,"None",2,"Lvl","FR2",2,"NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd",1,350,4,3,"PConc",4,3,3,6,655,1,0,490,1145,"GasA",5,1,"SBrkr",1145,1053,0,2198,1,0,2,1,4,1,4,9,7,1,3,"Attchd",2000,2,3,836,3,3,2,192,84,0,0,0,0,0,"None","None",0,"12","2008","WD","Normal",250000,3.5,0,8,0,3343,84,5
"6","1.5 story fin all ages","RL",85,14115,1,"None",2,"Lvl","Inside",2,"Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd",0,0,3,3,"Wood",4,3,1,6,732,1,0,64,796,"GasA",5,1,"SBrkr",796,566,0,1362,1,0,1,1,1,1,3,5,7,0,0,"Attchd",1993,1,2,480,3,3,2,40,30,0,320,0,0,0,"MnPrv","Shed",700,"10","2009","WD","Normal",143000,2.5,1,14,0,2158,350,6
"7","1 story 1946 & newer","RL",75,10084,1,"None",3,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd",2,186,4,3,"PConc",5,3,3,6,1369,1,0,317,1686,"GasA",5,1,"SBrkr",1694,0,0,1694,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2004,2,2,636,3,3,2,255,57,0,0,0,0,0,"None","None",0,"8","2007","WD","Normal",307000,3,1,2,0,3380,57,7
"8","2 story 1946 & newer","RL",100,10382,1,"None",2,"Lvl","Corner",2,"NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard",2,240,3,3,"CBlock",4,3,2,5,859,4,32,216,1107,"GasA",5,1,"SBrkr",1107,983,0,2090,1,0,2,1,3,1,3,7,7,2,3,"Attchd",1973,2,2,484,3,3,2,235,204,228,0,0,0,0,"None","Shed",350,"11","2009","WD","Normal",200000,3.5,0,36,0,3197,432,8
"9","1.5 story fin all ages","RM",51,6120,1,"None",3,"Lvl","Inside",2,"OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng",0,0,3,3,"BrkTil",3,3,1,1,0,1,0,952,952,"GasA",4,1,"FuseF",1022,752,0,1774,0,0,2,0,2,2,3,8,6,2,3,"Detchd",1931,1,2,468,2,3,2,90,0,205,0,0,0,0,"None","None",0,"4","2008","WD","Abnorml",129900,2,1,58,0,2726,205,9
"10","2 family conversion-all styles/ages","RL",50,7420,1,"None",3,"Lvl","Corner",2,"BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"BrkTil",3,3,1,6,851,1,0,140,991,"GasA",5,1,"SBrkr",1077,0,0,1077,1,0,1,0,2,2,3,5,7,2,3,"Attchd",1939,2,1,205,4,3,2,0,4,0,0,0,0,0,"None","None",0,"1","2008","WD","Normal",118000,2,1,58,0,2068,4,10
